city_x	station_id	request_date	answer_date	bike_available	name	address	banking	bonus	bike_stands	available_bike_stands	available_bikes	status	last_update	city_y	id	company	latitude	longitude	altitude	id_pollution	dist_bike_pollution
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	02- LES HALLES	Rue J Natiere	True	False	20	12.0	8.0	OPEN	1650455256000.0	amiens	2	JCDeceaux	49.896032388592566	2.295043974872919	30.0	FR18053	1.1723858573301849
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	02 - SQUARE BOUCHOT	Rue Battant (au niveau du Square Bouchot)	False	False	10	5.0	5.0	OPEN	1650455496000.0	besancon	2	JCDeceaux	47.243569	6.021966	250.0	FR82514	0.5086014753389124
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	02 - HOPITAL INTERCOMMUNAL (CHIC)	AVENUE DE VERDUN	True	False	22	6.0	16.0	OPEN	1650455494000.0	creteil	2	JCDeceaux	48.796173633089616	2.46370624551545	49.0	FR04008	1.5657529407612532
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	02 - REPUBLIQUE	3 Place de la République	True	False	14	14.0	0.0	OPEN	1650455144000.0	mulhouse	2	JCDeceaux	47.7459607192146	7.34141256758124	245.0	FR16057	1.3803777767785304
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	00002 - PLACE DE LA CARRIERE (CB)	Angle Place de la Carrière et rue des Maréchaux	True	False	16	8.0	8.0	OPEN	1650455232000.0	nancy	2	JCDeceaux	48.6945981637388	6.18229408637817	200.0	FR30032	0.0142549647706326
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	002-HÔTEL DE VILLE	29, rue de Strasbourg	False	False	20	19.0	1.0	OPEN	1650455640000.0	nantes	2	JCDeceaux	47.2185718130915	-1.55348429039295	20.0	FR23140	1.580811001071464
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	02- PASTEUR - FAC DE DROIT	AVENUE PASTEUR	True	False	20	16.0	4.0	OPEN	1650455632000.0	rouen	2	JCDeceaux	49.4442849736749	1.07838302560908	9.0	FR25037	0.4501926399167927
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	00002 - LAFAYETTE	21 RUE LAFAYETTE	True	False	24	8.0	15.0	OPEN	1650455704000.0	toulouse	2	JCDeceaux	43.60485265221502	1.445285876671779	155.0	FR12009	0.5702098563872167
amiens	2	2022-06-02T17:56:40	2022-06-02T20:01	10	002 Comédie				24					montpellier	2	En regie	43.608148	3.878778	40.0	FR08004	0.5456018461076617
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	10- PALAIS DE JUSTICE	Place D' Aguesseau	True	False	20	11.0	9.0	OPEN	1650455530000.0	amiens	10	JCDeceaux	49.8933588618336	2.301314220716614	40.0	FR18053	0.9842571214791352
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	10 - 8 SEPTEMBRE (CB)	Place du 8 Septembre	True	False	15	10.0	5.0	OPEN	1650455526000.0	besancon	10	JCDeceaux	47.237665	6.024203	252.0	FR82001	0.1990530340587001
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	10 - MAGELLAN	RUE MAGELLAN	True	False	20	18.0	2.0	OPEN	1650455409000.0	creteil	10	JCDeceaux	48.76895633113984	2.456664667660431	36.0	FR04034	1.0318422061990828
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	10 - PLACE DE LA PAIX	Rue de la SINNE angle rue CH.BRUN devant Eglise St ETIENNE	False	False	13	11.0	2.0	OPEN	1650455590000.0	mulhouse	10	JCDeceaux	47.7441863794142	7.33572665536391	244.0	FR16069	1.354011624161093
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	00010 - GARE THIERS (CB)	Rue Mazagran	True	False	30	20.0	10.0	OPEN	1650455164000.0	nancy	10	JCDeceaux	48.69037	6.175677	217.0	FR30024	0.2227731712690187
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	010- PICASSO	12, mail Pablo Picasso	False	False	40	16.0	24.0	OPEN	1650455490000.0	nantes	10	JCDeceaux	47.216207	-1.533796	6.0	FR23188	0.8104664483204004
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	10- PLACE CARNOT	COURS CLEMENCEAU	True	False	15	9.0	6.0	OPEN	1650455510000.0	rouen	10	JCDeceaux	49.4336973759198	1.09090294278958	10.0	FR25500	0.6596083644510875
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	00010 - PLACE ESQUIROL	15 PL ETIENNE ESQUIROL	True	False	44	2.0	42.0	OPEN	1650455491000.0	toulouse	10	JCDeceaux	43.6003776908545	1.44544233356215	157.0	FR12008	0.3438112528911364
amiens	10	2022-06-02T17:59:20	2022-06-02T20:01	11	010 Rondelet				16					montpellier	10	En regie	43.603038	3.875796	37.0	FR08004	0.2583618237388934
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	04- PLACE AU FEURRE	Place au Feurre	True	False	20	10.0	10.0	OPEN	1650455581000.0	amiens	4	JCDeceaux	49.89729029741273	2.297864452413288	28.0	FR18053	0.8513807856421374
amiens	4	2022-06-02T17:57:13	2022-06-02T20:01	6	04 - FLORE	7 rue de la Cassotte	False	False	11	5.0	6.0	OPEN	1650455230000.0	besancon	4	JCDeceaux	47.245801	6.028143	256.0	FR82001	1.2011693879781835
